label,label_name,new_device,unusual_location,impossible_travel,used_vpn,credentials_breached,failed_logins,beneficiary_age_min,amount,amount_fraction
0,legit,0,0,0,0,1,1,1132.04,7231.56,0.1679
1,fraud,0,1,0,1,1,1,49.68,81919.82,0.6127
0,legit,0,0,0,0,0,0,29964.12,66295.45,0.4303
1,fraud,1,1,1,1,1,0,663.27,99792.13,0.5874
0,legit,0,0,0,0,0,0,1747.45,10622.69,0.0657
1,fraud,1,1,0,1,1,1,33.96,115459.53,0.7321
0,legit,0,0,0,0,0,0,337.26,2873.88,0.0942
1,fraud,1,1,0,0,1,2,1.46,24517.81,0.6771
0,legit,0,0,0,0,0,0,27760.6,4449.55,0.0523
1,fraud,0,0,0,1,0,2,680.12,64971.02,0.9416
0,legit,0,0,0,0,0,0,1036.17,23483.81,0.2402
1,fraud,1,1,1,1,1,0,6.29,120125.17,0.9551
0,legit,0,0,0,1,0,0,119.59,13066.86,0.1214
1,fraud,1,1,1,1,1,1,49.59,132794.6,0.7324
0,legit,1,0,0,0,0,0,39692.65,459.4,0.0075
1,fraud,1,0,0,1,0,0,413.23,80474.2,0.4269
0,legit,0,0,0,0,0,0,14633.2,30302.79,0.1906
1,fraud,1,1,1,0,1,0,2102.19,48334.44,0.9247
0,legit,0,0,0,0,0,0,11030.44,5466.75,0.125
1,fraud,1,1,0,1,0,1,240.86,6315.76,0.1494
0,legit,0,0,0,0,0,1,24625.07,11942.85,0.089
1,fraud,1,0,0,0,0,1,84.61,9879.93,0.2492
0,legit,0,0,0,0,0,0,19224.84,66140.93,0.4816
1,fraud,1,1,0,0,1,0,261.72,81916.06,0.4863
0,legit,0,0,0,0,0,0,8733.03,5367.22,0.1813
1,fraud,1,1,0,0,0,0,14.28,42162.61,0.6498
0,legit,1,0,0,1,0,0,143.17,118886.19,0.6918
1,fraud,1,0,0,0,1,1,1243.45,80963.18,0.7837
0,legit,0,0,0,0,0,0,15116.21,4110.92,0.0466
1,fraud,0,0,0,1,1,2,1170.06,66392.62,0.5729
0,legit,0,0,0,0,0,0,31745.88,12497.82,0.355
1,fraud,0,0,0,0,0,2,35.45,18657.4,0.5028
0,legit,0,0,0,0,0,0,26479.02,14664.47,0.0782
1,fraud,1,1,1,0,0,0,4734.14,40439.03,0.5887
0,legit,0,0,0,0,0,0,40533.21,13019.68,0.0811
1,fraud,0,1,0,1,0,1,35.34,96514.99,0.6726
0,legit,0,0,0,0,0,1,159.69,82491.93,0.4136
1,fraud,1,1,0,0,0,0,1565.28,54864.13,0.8661
0,legit,0,0,0,1,1,0,1154.23,20322.71,0.3229
1,fraud,1,0,0,0,0,0,7.58,86215.31,0.778
0,legit,0,0,0,0,0,0,880.82,3799.88,0.1275
1,fraud,0,1,1,1,1,3,47.07,65538.07,0.4871
0,legit,0,0,0,0,0,1,22668.81,26677.14,0.2877
1,fraud,1,1,1,1,1,1,24.59,34925.44,0.5902
0,legit,1,0,0,0,0,0,933.22,6332.34,0.0461
1,fraud,1,1,0,1,1,1,5418.97,97366.85,0.8799
0,legit,0,0,0,1,1,0,13158.33,13909.27,0.1736
1,fraud,1,1,0,0,1,0,225.15,25608.49,0.2989
0,legit,0,0,0,0,0,0,10170.25,1278.31,0.0112
1,fraud,1,0,0,0,0,0,23.62,22719.06,0.6603
0,legit,0,0,0,0,1,0,21910.65,168.68,0.0013
1,fraud,1,0,0,0,0,2,22.06,106186.63,0.9067
0,legit,0,0,0,0,0,0,490.78,974.88,0.0089
1,fraud,1,0,0,1,1,0,55.65,76422.78,0.7591
0,legit,1,0,0,0,0,0,33237.42,6506.87,0.0356
1,fraud,1,0,1,0,1,1,1398.34,165717.93,0.8403
0,legit,0,0,0,1,0,0,669.83,4360.8,0.0222
1,fraud,1,1,0,0,0,0,3.02,32845.64,0.828
0,legit,0,0,0,0,1,0,1235.77,375.28,0.018
1,fraud,1,1,0,0,1,2,51.22,47102.8,0.6382
0,legit,0,0,0,1,0,0,1438.19,4826.09,0.0658
1,fraud,1,0,0,0,1,2,8.15,44701.27,0.5212
0,legit,1,0,0,0,0,1,779.06,28062.41,0.394
1,fraud,1,0,0,0,1,1,14.56,72162.87,0.9246
0,legit,0,0,0,0,0,0,971.58,102486.46,0.615
1,fraud,1,1,1,0,0,1,2.25,81854.79,0.4246
0,legit,0,1,0,0,0,0,17496.9,341.62,0.0111
1,fraud,1,1,1,1,1,2,30.54,71222.7,0.6588
0,legit,0,0,0,0,0,0,329.07,25404.86,0.3194
1,fraud,1,1,1,1,1,2,11.38,19789.45,0.7721
0,legit,0,0,0,0,1,0,234.77,63922.87,0.4017
1,fraud,0,1,0,0,1,2,47.97,83082.86,0.6484
0,legit,0,1,0,0,1,0,1019.8,16138.91,0.1055
1,fraud,1,1,1,0,1,1,1457.31,4508.61,0.1962
0,legit,1,0,0,0,0,0,26269.14,7208.48,0.0987
1,fraud,1,1,1,0,1,1,606.71,105082.18,0.7402
0,legit,0,0,0,0,1,0,18476.47,16915.4,0.458
1,fraud,1,1,0,1,1,2,2356.48,96933.01,0.927
0,legit,0,0,0,0,0,0,39189.92,8328.46,0.0474
1,fraud,1,1,1,0,1,1,3144.8,57973.97,0.7486
0,legit,0,0,0,0,0,0,6915.1,5607.17,0.1137
1,fraud,0,1,1,0,0,0,11.23,63324.69,0.5557
0,legit,1,0,0,0,0,0,13749.76,104162.21,0.6607
1,fraud,0,0,0,1,1,0,193.83,124948.61,0.7254
0,legit,0,0,0,0,0,0,16943.51,6060.56,0.0653
1,fraud,1,0,1,0,1,0,2215.41,51674.57,0.5472
0,legit,0,0,0,0,0,0,8173.97,115592.6,0.6109
1,fraud,1,1,0,1,1,0,57.14,9704.37,0.0909
0,legit,0,0,0,1,0,1,26835.48,4607.52,0.0444
1,fraud,1,0,0,0,1,0,2914.79,25440.39,0.8767
0,legit,0,0,0,0,0,0,3.82,1149.26,0.0058
1,fraud,1,1,1,0,1,2,43.6,78259.58,0.7598
0,legit,0,0,0,0,0,0,20216.66,25368.59,0.1404
1,fraud,1,1,1,0,1,1,33.75,141223.11,0.9443
0,legit,0,0,0,0,0,0,29314.38,16267.23,0.1179
1,fraud,1,1,0,0,1,1,16.58,36183.93,0.8048
0,legit,0,0,0,0,0,0,27559.97,35726.6,0.4599
1,fraud,1,1,1,0,1,1,5129.21,54122.96,0.6939
0,legit,0,0,0,0,0,0,1072.92,51156.26,0.3245
1,fraud,1,1,0,1,1,1,13.21,15341.35,0.0919
0,legit,1,0,0,0,0,0,17729.01,20510.02,0.1027
1,fraud,1,1,0,0,1,0,433.47,83739.57,0.4671
0,legit,0,0,0,0,0,0,1428.54,47558.95,0.2379
1,fraud,1,0,1,1,1,0,547.61,41294.36,0.2553
0,legit,0,0,0,0,0,0,38149.91,4296.76,0.1152
1,fraud,1,1,1,1,0,0,1195.92,46044.12,0.9165
0,legit,0,0,0,1,0,0,32857.26,27896.2,0.2519
1,fraud,1,1,1,0,1,0,10.6,167189.61,0.9942
0,legit,1,0,0,0,0,1,277.32,3258.37,0.0545
1,fraud,1,1,0,0,0,0,36.13,70012.81,0.6512
0,legit,0,0,0,0,0,0,24996.61,11192.94,0.0789
1,fraud,1,0,0,1,0,1,56.14,23075.62,0.7515
0,legit,0,0,0,1,0,0,7064.74,1532.79,0.0088
1,fraud,1,1,1,0,1,2,1871.27,30354.55,0.7717
0,legit,1,0,0,0,0,2,18196.82,41561.85,0.5307
1,fraud,1,1,0,1,1,3,23.91,74232.84,0.5927
0,legit,0,0,0,0,0,0,27880.31,85300.72,0.4566
1,fraud,1,1,0,1,0,1,20.81,44041.4,0.4996
0,legit,0,0,0,0,0,0,1335.64,29803.56,0.2337
1,fraud,0,1,0,0,1,0,836.48,22577.9,0.9113
0,legit,0,0,1,0,0,0,25037.65,2783.72,0.0405
1,fraud,1,1,0,0,0,0,1271.84,77490.01,0.8866
0,legit,0,0,0,0,0,0,6384.35,67465.49,0.4138
1,fraud,1,0,1,1,1,1,40.13,37237.35,0.4241
0,legit,0,0,0,1,0,0,41000.07,64078.6,0.6898
1,fraud,1,1,0,0,1,1,32.12,11950.11,0.0601
0,legit,0,0,0,1,0,0,3938.26,7214.88,0.0424
1,fraud,0,1,1,1,1,3,11.44,5259.52,0.0736
0,legit,0,0,0,0,0,1,34672.13,12900.72,0.1091
1,fraud,0,1,0,1,1,0,5.48,22658.82,0.6676
0,legit,0,0,0,0,0,1,22977.96,74376.25,0.3945
1,fraud,1,1,1,1,1,2,923.87,11517.76,0.2044
0,legit,0,0,0,1,0,0,545.08,18898.38,0.1191
1,fraud,1,1,0,1,1,1,56.21,37599.89,0.6986
0,legit,0,0,0,0,0,0,4230.64,8313.28,0.0656
1,fraud,1,0,0,0,1,0,4240.15,125802.6,0.7828
0,legit,0,0,0,0,0,1,19191.41,8082.99,0.0486
1,fraud,1,1,0,1,1,1,1294.67,67244.17,0.9736
0,legit,0,0,0,0,0,0,252.67,9521.49,0.1128
1,fraud,1,1,1,0,0,0,46.95,25060.69,0.1621
0,legit,0,0,0,0,0,0,32834.36,6638.88,0.0868
1,fraud,1,1,1,1,0,2,38.62,35813.23,0.2034
0,legit,0,0,0,0,1,0,22082.57,16625.7,0.1781
1,fraud,1,1,1,0,0,3,5284.36,42951.45,0.5609
0,legit,0,0,0,0,0,0,3859.8,10992.63,0.0576
1,fraud,1,1,1,0,1,2,40.69,94252.69,0.5657
0,legit,0,0,0,0,0,0,545.09,14126.96,0.0829
1,fraud,1,0,1,1,1,2,23.77,79291.61,0.5133
0,legit,0,0,0,0,0,0,593.35,36888.74,0.3984
1,fraud,1,0,1,1,1,0,17.44,40933.78,0.2507
0,legit,0,0,0,1,0,0,36796.98,12652.15,0.1377
1,fraud,1,0,1,0,0,2,3.13,135862.66,0.7713
0,legit,0,0,0,0,0,0,759.78,92395.38,0.5997
1,fraud,1,1,1,1,1,1,47.23,155221.71,0.8419
0,legit,0,0,0,0,0,0,1417.23,21661.7,0.2598
1,fraud,0,1,1,0,1,2,58.8,154349.23,0.8621
0,legit,0,0,0,0,1,0,811.69,15728.42,0.144
1,fraud,0,1,1,0,1,1,52.01,16043.49,0.104
0,legit,0,0,0,0,1,1,915.39,41602.89,0.2703
1,fraud,1,1,1,0,0,0,254.62,54698.76,0.2805
0,legit,0,0,0,1,0,0,107.11,23336.44,0.5321
1,fraud,1,1,0,0,1,1,20.83,91461.86,0.8779
0,legit,0,0,0,0,0,0,112.41,26697.08,0.1693
1,fraud,1,0,1,0,1,1,902.26,107922.93,0.8161
0,legit,0,0,0,0,0,0,19854.6,7517.23,0.0489
1,fraud,1,0,0,1,1,2,31.77,56877.38,0.4431
0,legit,0,0,0,0,0,1,8993.73,4676.92,0.0792
1,fraud,1,0,0,1,1,0,2163.02,104235.73,0.7849
0,legit,0,0,0,0,0,0,1438.31,4781.9,0.0793
1,fraud,1,1,0,0,1,1,5470.27,51008.54,0.8997
0,legit,0,0,0,0,0,0,14838.7,10523.33,0.0888
1,fraud,1,1,0,1,1,0,51.05,85843.52,0.8556
0,legit,0,1,0,0,0,0,3734.09,22993.49,0.1844
1,fraud,1,1,1,1,1,2,1487.59,9771.29,0.1874
0,legit,0,0,0,0,0,1,13979.36,8748.39,0.0826
1,fraud,1,1,0,1,1,1,1131.77,76589.5,0.4617
0,legit,0,0,0,1,0,0,8817.61,64080.84,0.3805
1,fraud,0,1,0,0,1,2,5353.5,87022.64,0.4469
0,legit,0,0,0,0,0,0,108.49,74013.41,0.489
1,fraud,1,1,0,0,1,0,27.89,100359.1,0.5291
0,legit,0,0,0,0,0,1,30376.61,19828.1,0.1003
1,fraud,1,1,1,1,0,0,50.76,18359.55,0.1616
0,legit,0,0,0,0,0,0,30151.42,2029.37,0.0711
1,fraud,1,1,0,1,1,1,39.11,21717.54,0.549
0,legit,0,0,0,0,0,0,22951.97,4597.9,0.056
1,fraud,1,0,1,0,0,0,932.65,11344.78,0.0606
0,legit,0,0,0,0,0,0,36629.26,20179.92,0.2577
1,fraud,1,1,1,0,1,1,25.48,184173.1,0.9827
0,legit,0,0,0,0,0,0,23603.0,28573.03,0.1459
1,fraud,1,1,1,0,1,1,21.38,56292.72,0.6799
0,legit,0,0,0,0,0,0,22094.51,4935.12,0.1166
1,fraud,1,0,0,0,0,3,9.86,57490.55,0.5067
0,legit,0,1,0,0,1,0,12878.32,1259.36,0.0486
1,fraud,1,1,1,1,1,0,45.42,34919.73,0.1761
0,legit,0,0,0,0,0,0,33464.72,74.76,0.0005
1,fraud,1,0,0,1,0,0,1162.93,9564.57,0.0745
0,legit,0,0,0,0,0,0,38164.23,32297.51,0.4704
1,fraud,1,1,1,1,1,0,33.99,10780.17,0.1142
0,legit,0,0,0,0,0,0,35609.17,5854.87,0.0468
1,fraud,1,1,0,1,1,2,30.78,31354.21,0.4712
0,legit,0,0,0,0,0,0,7966.73,18681.64,0.4821
1,fraud,0,1,0,1,1,2,2799.58,54528.86,0.6497
0,legit,0,0,0,0,1,0,488.51,2792.43,0.0202
1,fraud,1,0,1,1,1,1,3.73,54564.97,0.6316
0,legit,0,0,0,0,0,0,545.88,63982.38,0.5088
1,fraud,0,0,1,1,0,3,5.66,103097.87,0.8509
0,legit,0,0,0,0,0,0,1251.5,3663.02,0.1379
1,fraud,0,1,1,1,1,1,5.71,93497.36,0.5199
0,legit,0,0,0,0,0,0,31861.4,5458.97,0.1966
1,fraud,0,0,0,1,1,0,654.99,38141.78,0.2988
0,legit,1,0,0,0,0,0,714.91,5386.76,0.029
1,fraud,1,1,1,0,1,0,747.24,111540.24,0.8961
0,legit,1,0,0,0,0,0,8552.53,1211.48,0.0373
1,fraud,1,1,0,0,1,0,51.23,40818.01,0.6557
0,legit,0,0,0,0,0,0,21386.61,20940.37,0.1166
1,fraud,1,1,1,1,1,0,15.13,79131.46,0.9233
0,legit,0,0,0,0,0,0,3413.17,49983.74,0.318
1,fraud,1,1,0,0,1,0,1427.92,31483.52,0.4744
0,legit,0,0,0,0,0,0,24653.44,17437.42,0.2371
1,fraud,1,0,1,1,1,0,31.71,2601.06,0.081
0,legit,0,0,0,0,0,0,909.73,91814.73,0.5873
1,fraud,1,1,0,0,1,1,45.39,104069.7,0.5214
0,legit,0,0,0,1,0,0,28890.27,1532.94,0.0102
1,fraud,1,1,0,1,1,1,4373.5,19335.3,0.533
0,legit,0,0,0,0,0,0,1041.72,4136.49,0.0364
1,fraud,1,1,1,0,1,0,20.36,144059.59,0.8635
0,legit,0,0,0,0,0,0,1272.54,17550.26,0.154
1,fraud,1,1,1,0,0,2,3.29,34654.83,0.1831
